
时间2 (秒 s)	角2 (弧度 rad)	角速度2 (弧度/秒 rad/s)	角加速度2 (弧度/秒² rad/s²)	位置2 (米 m)	速度2 (米/秒 m/s)	加速度2 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)
0.830	0.000	0.000	0.000	0.0000	0.000	0.000	0.830	0.157	0.000	43.633	0.0037	0.000	1.042	0.166	0.000	0.000	0.000	0.0000	0.000	0.000	8.300	-0.035	0.087	-3.491	-8.3333E-4	0.002	-0.083	8.300	-0.052	-0.175	-3.054	-0.0012	-0.004	-0.073
0.840	0.000	0.000	0.000	0.0000	0.000	0.000	0.840	0.157	0.873	43.633	0.0037	0.021	1.042	0.168	0.000	0.000	0.000	0.0000	0.000	0.000	8.400	-0.035	-0.262	-3.491	-8.3333E-4	-0.006	-0.083	8.400	-0.087	-0.436	-2.182	-0.0021	-0.010	-0.052
0.850	0.000	0.000	0.000	0.0000	0.000	0.000	0.850	0.175	0.873	-43.633	0.0042	0.021	-1.042	0.170	0.000	0.000	0.000	0.0000	0.000	0.000	8.500	-0.087	-0.611	-2.618	-0.0021	-0.015	-0.062	8.500	-0.140	-0.611	-1.309	-0.0033	-0.015	-0.031
0.860	0.000	0.000	0.000	0.0000	0.000	0.000	0.860	0.175	0.000	-43.633	0.0042	0.000	-1.042	0.172	0.000	0.000	0.000	0.0000	0.000	0.000	8.600	-0.157	-0.785	-1.745	-0.0037	-0.019	-0.042	8.600	-0.209	-0.698	-0.436	-0.0050	-0.017	-0.010
0.870	0.000	0.000	0.000	0.0000	0.000	0.000	0.870	0.175	0.000	43.633	0.0042	0.000	1.042	0.174	0.000	0.000	0.000	0.0000	0.000	0.000	8.700	-0.244	-0.960	-0.873	-0.0058	-0.023	-0.021	8.700	-0.279	-0.698	-3.164E-14	-0.0067	-0.017	-7.286E-16
0.880	0.000	0.000	0.000	0.0000	0.000	0.000	0.880	0.175	0.873	43.633	0.0042	0.021	1.042	0.176	0.000	0.000	0.000	0.0000	0.000	0.000	8.800	-0.349	-0.960	1.309	-0.0083	-0.023	0.031	8.800	-0.349	-0.698	0.873	-0.0083	-0.017	0.021
0.890	0.000	0.000	0.000	0.0000	0.000	0.000	0.890	0.192	0.873	-43.633	0.0046	0.021	-1.042	0.178	0.000	0.000	0.000	0.0000	0.000	0.000	8.900	-0.436	-0.698	2.618	-0.0104	-0.017	0.063	8.900	-0.419	-0.524	2.618	-0.0100	-0.013	0.063
0.900	0.000	0.000	0.000	0.0000	0.000	0.000	0.900	0.192	0.000	-43.633	0.0046	0.000	-1.042	0.180	0.000	0.000	0.000	0.0000	0.000	0.000	9.000	-0.489	-0.436	3.054	-0.0117	-0.010	0.073	9.000	-0.454	-0.175	3.491	-0.0108	-0.004	0.083
0.910	0.000	0.000	0.000	0.0000	0.000	0.000	0.910	0.192	0.000	0.000	0.0046	0.000	0.000	0.182	0.000	0.000	0.000	0.0000	0.000	0.000	9.100	-0.524	-0.087	3.927	-0.0125	-0.002	0.094	9.100	-0.454	0.175	3.054	-0.0108	0.004	0.073
0.920	0.000	0.000	0.000	0.0000	0.000	0.000	0.920	0.192	0.000	43.633	0.0046	0.000	1.042	0.184	0.000	0.000	0.000	0.0000	0.000	0.000	9.200	-0.506	0.349	3.491	-0.0121	0.008	0.083	9.200	-0.419	0.436	2.182	-0.0100	0.010	0.052
0.930	0.000	0.000	0.000	0.0000	0.000	0.000	0.930	0.192	0.873	43.633	0.0046	0.021	1.042	0.186	0.000	0.000	0.000	0.0000	0.000	0.000	9.300	-0.454	0.611	2.182	-0.0108	0.015	0.052	9.300	-0.367	0.611	1.309	-0.0087	0.015	0.031
0.940	0.000	0.000	0.000	0.0000	0.000	0.000	0.940	0.209	0.873	-43.633	0.0050	0.021	-1.042	0.188	0.000	0.000	0.000	0.0000	0.000	0.000	9.400	-0.384	0.785	1.309	-0.0092	0.019	0.031	9.400	-0.297	0.698	0.436	-0.0071	0.017	0.010
0.950	0.000	0.000	0.000	0.0000	0.000	0.000	0.950	0.209	0.000	-43.633	0.0050	0.000	-1.042	0.190	0.000	0.000	0.000	0.0000	0.000	0.000	9.500	-0.297	0.873	0.436	-0.0071	0.021	0.010	9.500	-0.227	0.698	-0.436	-0.0054	0.017	-0.010
0.960	0.000	0.000	0.000	0.0000	0.000	0.000	0.960	0.209	0.000	0.000	0.0050	0.000	0.000	0.192	0.000	0.000	0.000	0.0000	0.000	0.000	9.600	-0.209	0.873	-0.436	-0.0050	0.021	-0.010	9.600	-0.157	0.611	-1.309	-0.0037	0.015	-0.031
0.970	0.000	0.000	0.000	0.0000	0.000	0.000	0.970	0.209	0.000	0.000	0.0050	0.000	0.000	0.194	0.000	0.000	0.000	0.0000	0.000	0.000	9.700	-0.122	0.785	-2.182	-0.0029	0.019	-0.052	9.700	-0.105	0.436	-2.182	-0.0025	0.010	-0.052
0.980	0.000	0.000	0.000	0.0000	0.000	0.000	0.980	0.209	0.000	0.000	0.0050	0.000	0.000	0.196	0.000	0.000	0.000	0.0000	0.000	0.000	9.800	-0.052	0.436	-3.491	-0.0012	0.010	-0.083	9.800	-0.070	0.175	-2.618	-0.0017	0.004	-0.063
0.990	0.000	0.000	43.633	0.0000	0.000	1.042	0.990	0.209	0.000	0.000	0.0050	0.000	0.000	0.198	0.000	0.000	0.000	0.0000	0.000	0.000	9.900	-0.035	0.087	-3.491	-8.3333E-4	0.002	-0.083	9.900	-0.070	-0.087	-2.618	-0.0017	-0.002	-0.063
1.000	0.000	0.873	43.633	0.0000	0.021	1.042	1.000	0.209	0.000	0.000	0.0050	0.000	0.000	0.200	0.000	0.000	0.000	0.0000	0.000	0.000	10.000	-0.035	-0.262	-3.491	-8.3333E-4	-0.006	-0.083	10.000	-0.087	-0.349	-2.618	-0.0021	-0.008	-0.062
1.010	0.017	0.873	-43.633	4.1667E-4	0.021	-1.042	1.010	0.209	0.000	0.000	0.0050	0.000	0.000	0.202	0.000	0.000	0.000	0.0000	0.000	0.000	10.100	-0.087	-0.611	-2.618	-0.0021	-0.015	-0.063	10.100	-0.140	-0.611	-1.745	-0.0033	-0.015	-0.042
1.020	0.017	0.000	0.000	4.1667E-4	0.000	0.000	1.020	0.209	0.000	43.633	0.0050	0.000	1.042	0.204	0.000	0.000	0.000	0.0000	0.000	0.000	10.200	-0.157	-0.785	-1.745	-0.0037	-0.019	-0.042	10.200	-0.209	-0.698	-0.436	-0.0050	-0.017	-0.010
1.030	0.017	0.873	43.633	4.1667E-4	0.021	1.042	1.030	0.209	0.873	43.633	0.0050	0.021	1.042	0.206	0.000	0.000	0.000	0.0000	0.000	0.000	10.300	-0.244	-0.960	-0.436	-0.0058	-0.023	-0.010	10.300	-0.279	-0.698	0.436	-0.0067	-0.017	0.010
1.040	0.035	0.873	-43.633	8.3333E-4	0.021	-1.042	1.040	0.227	0.873	-43.633	0.0054	0.021	-1.042	0.208	0.000	0.000	0.000	0.0000	0.000	0.000	10.400	-0.349	-0.873	1.309	-0.0083	-0.021	0.031	10.400	-0.349	-0.611	1.309	-0.0083	-0.015	0.031
1.050	0.035	0.000	-43.633	8.3333E-4	0.000	-1.042	1.050	0.227	0.000	-43.633	0.0054	0.000	-1.042	0.210	0.000	0.000	0.000	0.0000	0.000	0.000	10.500	-0.419	-0.698	2.182	-0.0100	-0.017	0.052	10.500	-0.401	-0.436	2.182	-0.0096	-0.010	0.052
1.060	0.035	0.000	43.633	8.3333E-4	0.000	1.042	1.060	0.227	0.000	0.000	0.0054	0.000	0.000	0.212	0.000	0.000	0.000	0.0000	0.000	0.000	10.600	-0.489	-0.436	3.054	-0.0117	-0.010	0.073	10.600	-0.436	-0.175	2.618	-0.0104	-0.004	0.062
1.070	0.035	0.873	43.633	8.3333E-4	0.021	1.042	1.070	0.227	0.000	0.000	0.0054	0.000	0.000	0.214	0.000	0.000	0.000	0.0000	0.000	0.000	10.700	-0.506	-0.087	3.491	-0.0121	-0.002	0.083	10.700	-0.436	0.087	2.618	-0.0104	0.002	0.063
1.080	0.052	0.873	-43.633	0.0012	0.021	-1.042	1.080	0.227	0.000	0.000	0.0054	0.000	0.000	0.216	0.000	0.000	0.000	0.0000	0.000	0.000	10.800	-0.506	0.262	3.491	-0.0121	0.006	0.083	10.800	-0.419	0.349	2.618	-0.0100	0.008	0.063
1.090	0.052	0.000	-1.665E-14	0.0012	0.000	5.204E-16	1.090	0.227	0.000	0.000	0.0054	0.000	0.000	0.218	0.000	0.000	0.000	0.0000	0.000	0.000	10.900	-0.454	0.611	2.618	-0.0108	0.015	0.062	10.900	-0.367	0.611	1.745	-0.0087	0.015	0.042
1.100	0.052	0.873	43.633	0.0012	0.021	1.042	1.100	0.227	0.000	0.000	0.0054	0.000	0.000	0.220	0.000	0.000	0.000	0.0000	0.000	0.000	11.000	-0.384	0.785	1.309	-0.0092	0.019	0.031	11.000	-0.297	0.698	0.436	-0.0071	0.017	0.010
1.110	0.070	0.873	0.000	0.0017	0.021	0.000	1.110	0.227	0.000	-43.633	0.0054	0.000	-1.042	0.222	0.000	0.000	0.000	0.0000	0.000	0.000	11.100	-0.297	0.873	0.436	-0.0071	0.021	0.010	11.100	-0.227	0.698	-0.436	-0.0054	0.017	-0.010
1.120	0.070	0.873	0.000	0.0017	0.021	0.000	1.120	0.227	-0.873	-43.633	0.0054	-0.021	-1.042	0.224	0.000	0.000	0.000	0.0000	0.000	0.000	11.200	-0.209	0.873	-0.873	-0.0050	0.021	-0.021	11.200	-0.157	0.611	-1.745	-0.0037	0.015	-0.042
1.130	0.087	0.873	3.331E-14	0.0021	0.021	-1.041E-15	1.130	0.209	-0.873	43.633	0.0050	-0.021	1.042	0.226	0.000	0.000	0.000	0.0000	0.000	0.000	11.300	-0.122	0.698	-2.182	-0.0029	0.017	-0.052	11.300	-0.105	0.349	-2.182	-0.0025	0.008	-0.052
1.140	0.087	0.873	5.163E-13	0.0021	0.021	1.058E-14	1.140	0.209	0.000	43.633	0.0050	0.000	1.042	0.228	0.000	0.000	0.000	0.0000	0.000	0.000	11.400	-0.070	0.436	-3.054	-0.0017	0.010	-0.073	11.400	-0.087	0.175	-2.182	-0.0021	0.004	-0.052
1.150	0.105	0.873	-43.633	0.0025	0.021	-1.042	1.150	0.209	0.000	0.000	0.0050	0.000	0.000	0.230	0.000	0.000	0.000	0.0000	0.000	0.000	11.500	-0.035	0.087	-3.491	-8.3333E-4	0.002	-0.083	11.500	-0.070	-0.087	-2.618	-0.0017	-0.002	-0.062
1.160	0.105	0.000	-5.163E-13	0.0025	0.000	-1.058E-14	1.160	0.209	0.000	0.000	0.0050	0.000	0.000	0.232	0.000	0.000	0.000	0.0000	0.000	0.000	11.600	-0.052	-0.262	-3.054	-0.0012	-0.006	-0.073	11.600	-0.105	-0.349	-2.182	-0.0025	-0.008	-0.052
1.170	0.105	0.873	43.633	0.0025	0.021	1.042	1.170	0.209	0.000	0.000	0.0050	0.000	0.000	0.234	0.000	0.000	0.000	0.0000	0.000	0.000	11.700	-0.087	-0.524	-2.618	-0.0021	-0.013	-0.063	11.700	-0.140	-0.524	-1.745	-0.0033	-0.013	-0.042
1.180	0.122	0.873	0.000	0.0029	0.021	0.000	1.180	0.209	0.000	0.000	0.0050	0.000	0.000	0.236	0.000	0.000	0.000	0.0000	0.000	0.000	11.800	-0.157	-0.785	-2.182	-0.0037	-0.019	-0.052	11.800	-0.209	-0.698	-0.873	-0.0050	-0.017	-0.021
1.190	0.122	0.873	0.000	0.0029	0.021	0.000	1.190	0.209	0.000	-43.633	0.0050	0.000	-1.042	0.238	0.000	0.000	0.000	0.0000	0.000	0.000	11.900	-0.244	-0.960	-0.436	-0.0058	-0.023	-0.010	11.900	-0.279	-0.698	0.436	-0.0067	-0.017	0.010
1.200	0.140	0.873	-43.633	0.0033	0.021	-1.042	1.200	0.209	-0.873	-43.633	0.0050	-0.021	-1.042	0.240	0.000	0.000	0.000	0.0000	0.000	0.000	12.000	-0.349	-0.873	1.309	-0.0083	-0.021	0.031	12.000	-0.349	-0.611	1.745	-0.0083	-0.015	0.042
1.210	0.140	0.000	3.331E-14	0.0033	0.000	0.000	1.210	0.192	-0.873	43.633	0.0046	-0.021	1.042	0.242	0.000	0.000	0.000	0.0000	0.000	0.000	12.100	-0.419	-0.698	2.182	-0.0100	-0.017	0.052	12.100	-0.401	-0.349	2.182	-0.0096	-0.008	0.052
1.220	0.140	0.873	43.633	0.0033	0.021	1.042	1.220	0.192	0.000	43.633	0.0046	0.000	1.042	0.244	0.000	0.000	0.000	0.0000	0.000	0.000	12.200	-0.489	-0.436	3.054	-0.0117	-0.010	0.073	12.200	-0.419	-0.175	2.182	-0.0100	-0.004	0.052
1.230	0.157	0.873	-43.633	0.0037	0.021	-1.042	1.230	0.192	0.000	0.000	0.0046	0.000	0.000	0.246	0.000	0.000	0.000	0.0000	0.000	0.000	12.300	-0.506	-0.087	3.491	-0.0121	-0.002	0.083	12.300	-0.436	0.087	2.618	-0.0104	0.002	0.063
1.240	0.157	0.000	-6.661E-14	0.0037	0.000	0.000	1.240	0.192	0.000	0.000	0.0046	0.000	0.000	0.248	0.000	0.000	0.000	0.0000	0.000	0.000	12.400	-0.506	0.262	3.491	-0.0121	0.006	0.083	12.400	-0.401	0.349	2.182	-0.0096	0.008	0.052
1.250	0.157	0.873	43.633	0.0037	0.021	1.042	1.250	0.192	0.000	-43.633	0.0046	0.000	-1.042	0.250	0.000	0.000	0.000	0.0000	0.000	0.000	12.500	-0.454	0.611	2.618	-0.0108	0.015	0.062	12.500	-0.367	0.524	1.745	-0.0087	0.012	0.042
1.260	0.175	0.873	-43.633	0.0042	0.021	-1.042	1.260	0.192	-0.873	-43.633	0.0046	-0.021	-1.042	0.252	0.000	0.000	0.000	0.0000	0.000	0.000	12.600	-0.384	0.785	1.309	-0.0092	0.019	0.031	12.600	-0.297	0.698	0.436	-0.0071	0.017	0.010
1.270	0.175	0.000	6.661E-14	0.0042	0.000	0.000	1.270	0.175	-0.873	43.633	0.0042	-0.021	1.042	0.254	0.000	0.000	0.000	0.0000	0.000	0.000	12.700	-0.297	0.873	0.436	-0.0071	0.021	0.010	12.700	-0.227	0.611	-0.873	-0.0054	0.015	-0.021
1.280	0.175	0.873	43.633	0.0042	0.021	1.042	1.280	0.175	0.000	43.633	0.0042	0.000	1.042	0.256	0.000	0.000	0.000	0.0000	0.000	0.000	12.800	-0.209	0.873	-0.873	-0.0050	0.021	-0.021	12.800	-0.175	0.524	-0.873	-0.0042	0.013	-0.021
1.290	0.192	0.873	-43.633	0.0046	0.021	-1.042	1.290	0.175	0.000	-43.633	0.0042	0.000	-1.042	0.258	0.000	0.000	0.000	0.0000	0.000	0.000	12.900	-0.122	0.698	-2.182	-0.0029	0.017	-0.052	12.900	-0.122	0.436	-1.745	-0.0029	0.010	-0.042
1.300	0.192	0.000	0.000	0.0046	0.000	-2.082E-15	1.300	0.175	-0.873	-43.633	0.0042	-0.021	-1.042	0.260	0.000	0.000	0.000	0.0000	0.000	0.000	13.000	-0.070	0.436	-3.054	-0.0017	0.010	-0.073	13.000	-0.087	0.175	-2.618	-0.0021	0.004	-0.062
1.310	0.192	0.873	43.633	0.0046	0.021	1.042	1.310	0.157	-0.873	43.633	0.0037	-0.021	1.042	0.262	0.000	0.000	0.000	0.0000	0.000	0.000	13.100	-0.035	0.087	-3.491	-8.3333E-4	0.002	-0.083	13.100	-0.087	-0.087	-2.618	-0.0021	-0.002	-0.062
1.320	0.209	0.873	-6.661E-14	0.0050	0.021	2.082E-15	1.320	0.157	0.000	43.633	0.0037	0.000	1.042	0.264	0.000	0.000	0.000	0.0000	0.000	0.000	13.200	-0.052	-0.262	-3.054	-0.0012	-0.006	-0.073	13.200	-0.105	-0.349	-2.182	-0.0025	-0.008	-0.052
1.330	0.209	0.873	-6.661E-14	0.0050	0.021	2.082E-15	1.330	0.157	0.000	-43.633	0.0037	0.000	-1.042	0.266	0.000	0.000	0.000	0.0000	0.000	0.000	13.300	-0.087	-0.524	-2.618	-0.0021	-0.013	-0.063	13.300	-0.157	-0.524	-1.309	-0.0037	-0.013	-0.031
1.340	0.227	0.873	6.661E-14	0.0054	0.021	0.000	1.340	0.157	-0.873	-43.633	0.0037	-0.021	-1.042	0.268	0.000	0.000	0.000	0.0000	0.000	0.000	13.400	-0.157	-0.785	-2.182	-0.0037	-0.019	-0.052	13.400	-0.209	-0.611	-0.436	-0.0050	-0.015	-0.010
1.350	0.227	0.873	6.661E-14	0.0054	0.021	0.000	1.350	0.140	-0.873	43.633	0.0033	-0.021	1.042	0.270	0.000	0.000	0.000	0.0000	0.000	0.000	13.500	-0.244	-0.960	-0.436	-0.0058	-0.023	-0.010	13.500	-0.279	-0.611	0.436	-0.0067	-0.015	0.010
1.360	0.244	0.873	-43.633	0.0058	0.021	-1.042	1.360	0.140	0.000	3.331E-14	0.0033	0.000	0.000	0.272	0.000	0.000	0.000	0.0000	0.000	0.000	13.600	-0.349	-0.873	1.745	-0.0083	-0.021	0.042	13.600	-0.332	-0.524	0.873	-0.0079	-0.012	0.021
1.370	0.244	0.000	-6.661E-14	0.0058	0.000	0.000	1.370	0.140	-0.873	-43.633	0.0033	-0.021	-1.042	0.274	0.000	0.000	0.000	0.0000	0.000	0.000	13.700	-0.419	-0.611	2.182	-0.0100	-0.015	0.052	13.700	-0.384	-0.436	1.745	-0.0092	-0.010	0.042
1.380	0.244	0.873	43.633	0.0058	0.021	1.042	1.380	0.122	-0.873	43.633	0.0029	-0.021	1.042	0.276	0.000	0.000	0.000	0.0000	0.000	0.000	13.800	-0.471	-0.436	2.618	-0.0112	-0.010	0.063	13.800	-0.419	-0.175	2.618	-0.0100	-0.004	0.063
1.390	0.262	0.873	-43.633	0.0062	0.021	-1.042	1.390	0.122	0.000	-4.829E-13	0.0029	0.000	-1.162E-14	0.278	0.000	0.000	0.000	0.0000	0.000	0.000	13.900	-0.506	-0.087	3.491	-0.0121	-0.002	0.083	13.900	-0.419	0.087	2.618	-0.0100	0.002	0.062
1.400	0.262	0.000	5.496E-13	0.0062	0.000	1.162E-14	1.400	0.122	-0.873	-43.633	0.0029	-0.021	-1.042	0.280	0.000	0.000	0.000	0.0000	0.000	0.000	14.000	-0.489	0.262	3.054	-0.0117	0.006	0.073	14.000	-0.401	0.349	2.182	-0.0096	0.008	0.052
1.410	0.262	0.873	43.633	0.0062	0.021	1.042	1.410	0.105	-0.873	43.633	0.0025	-0.021	1.042	0.282	0.000	0.000	0.000	0.0000	0.000	0.000	14.100	-0.454	0.524	2.618	-0.0108	0.012	0.063	14.100	-0.349	0.524	1.309	-0.0083	0.012	0.031
1.420	0.279	0.873	-4.829E-13	0.0067	0.021	-1.162E-14	1.420	0.105	0.000	43.633	0.0025	0.000	1.042	0.284	0.000	0.000	0.000	0.0000	0.000	0.000	14.200	-0.384	0.785	1.745	-0.0092	0.019	0.042	14.200	-0.297	0.611	0.436	-0.0071	0.015	0.010
1.430	0.279	0.873	0.000	0.0067	0.021	0.000	1.430	0.105	0.000	-43.633	0.0025	0.000	-1.042	0.286	0.000	0.000	0.000	0.0000	0.000	0.000	14.300	-0.297	0.873	0.436	-0.0071	0.021	0.010	14.300	-0.227	0.611	-0.436	-0.0054	0.015	-0.010
1.440	0.297	0.873	-43.633	0.0071	0.021	-1.042	1.440	0.105	-0.873	-43.633	0.0025	-0.021	-1.042	0.288	0.000	0.000	0.000	0.0000	0.000	0.000	14.400	-0.209	0.873	-0.873	-0.0050	0.021	-0.021	14.400	-0.175	0.524	-1.309	-0.0042	0.013	-0.031
1.450	0.297	0.000	0.000	0.0071	0.000	0.000	1.450	0.087	-0.873	43.633	0.0021	-0.021	1.042	0.290	0.000	0.000	0.000	0.0000	0.000	0.000	14.500	-0.122	0.698	-2.618	-0.0029	0.017	-0.063	14.500	-0.122	0.349	-2.182	-0.0029	0.008	-0.052
1.460	0.297	0.873	43.633	0.0071	0.021	1.042	1.460	0.087	0.000	3.331E-14	0.0021	0.000	-1.041E-15	0.292	0.000	0.000	0.000	0.0000	0.000	0.000	14.600	-0.070	0.349	-3.054	-0.0017	0.008	-0.073	14.600	-0.105	0.087	-2.182	-0.0025	0.002	-0.052
1.470	0.314	0.873	-43.633	0.0075	0.021	-1.042	1.470	0.087	-0.873	-43.633	0.0021	-0.021	-1.042	0.294	0.000	0.000	0.000	0.0000	0.000	0.000	14.700	-0.052	0.087	-3.054	-0.0012	0.002	-0.073	14.700	-0.105	-0.087	-1.745	-0.0025	-0.002	-0.042
1.480	0.314	0.000	-1.388E-13	0.0075	0.000	-2.082E-15	1.480	0.070	-0.873	43.633	0.0017	-0.021	1.042	0.296	0.000	0.000	0.000	0.0000	0.000	0.000	14.800	-0.052	-0.262	-3.491	-0.0012	-0.006	-0.083	14.800	-0.122	-0.262	-1.745	-0.0029	-0.006	-0.042
1.490	0.314	0.873	43.633	0.0075	0.021	1.042	1.490	0.070	0.000	0.000	0.0017	0.000	0.000	0.298	0.000	0.000	0.000	0.0000	0.000	0.000	14.900	-0.105	-0.611	-2.182	-0.0025	-0.015	-0.052	14.900	-0.157	-0.436	-1.745	-0.0037	-0.010	-0.042
1.500	0.332	0.873	1.388E-13	0.0079	0.021	4.337E-15	1.500	0.070	-0.873	-43.633	0.0017	-0.021	-1.042	0.300	0.000	0.000	0.000	0.0000	0.000	0.000	15.000	-0.175	-0.698	-1.309	-0.0042	-0.017	-0.031	15.000	-0.209	-0.611	-0.873	-0.0050	-0.015	-0.021
1.510	0.332	0.873	1.388E-13	0.0079	0.021	4.337E-15	1.510	0.052	-0.873	43.633	0.0012	-0.021	1.042	0.302	0.000	0.000	0.000	0.0000	0.000	0.000	15.100	-0.244	-0.873	-0.873	-0.0058	-0.021	-0.021	15.100	-0.279	-0.611	0.436	-0.0067	-0.015	0.010
1.520	0.349	0.873	0.000	0.0083	0.021	-4.337E-15	1.520	0.052	0.000	-1.665E-14	0.0012	0.000	5.204E-16	0.304	0.000	0.000	0.000	0.0000	0.000	0.000	15.200	-0.349	-0.873	1.309	-0.0083	-0.021	0.031	15.200	-0.332	-0.524	1.309	-0.0079	-0.013	0.031
1.530	0.349	0.873	0.000	0.0083	0.021	-4.337E-15	1.530	0.052	-0.873	-43.633	0.0012	-0.021	-1.042	0.306	0.000	0.000	0.000	0.0000	0.000	0.000	15.300	-0.419	-0.611	2.182	-0.0100	-0.015	0.052	15.300	-0.384	-0.349	1.745	-0.0092	-0.008	0.042
1.540	0.367	0.873	-43.633	0.0087	0.021	-1.042	1.540	0.035	-0.873	43.633	8.3333E-4	-0.021	1.042	0.308	0.000	0.000	0.000	0.0000	0.000	0.000	15.400	-0.471	-0.436	2.618	-0.0112	-0.010	0.063	15.400	-0.401	-0.175	2.182	-0.0096	-0.004	0.052
1.550	0.367	0.000	0.000	0.0087	0.000	4.337E-15	1.550	0.035	0.000	1.110E-14	8.3333E-4	0.000	-3.469E-16	0.310	0.000	0.000	0.000	0.0000	0.000	0.000	15.500	-0.506	-0.087	3.491	-0.0121	-0.002	0.083	15.500	-0.419	0.087	2.618	-0.0100	0.002	0.062
1.560	0.367	0.873	43.633	0.0087	0.021	1.042	1.560	0.035	-0.873	-43.633	8.3333E-4	-0.021	-1.042	0.312	0.000	0.000	0.000	0.0000	0.000	0.000	15.600	-0.489	0.262	3.054	-0.0117	0.006	0.073	15.600	-0.384	0.349	1.745	-0.0092	0.008	0.042
1.570	0.384	0.873	0.000	0.0092	0.021	-4.337E-15	1.570	0.017	-0.873	43.633	4.1667E-4	-0.021	1.042	0.314	0.000	0.000	0.000	0.0000	0.000	0.000	15.700	-0.454	0.524	2.618	-0.0108	0.013	0.063	15.700	-0.349	0.436	0.873	-0.0083	0.010	0.021
1.580	0.384	0.873	0.000	0.0092	0.021	-4.337E-15	1.580	0.017	0.000	0.000	4.1667E-4	0.000	0.000	0.316	0.000	0.000	0.000	0.0000	0.000	0.000	15.800	-0.384	0.785	1.745	-0.0092	0.019	0.042	15.800	-0.297	0.524	0.873	-0.0071	0.013	0.021
1.590	0.401	0.873	-43.633	0.0096	0.021	-1.042	1.590	0.017	-0.873	-43.633	4.1667E-4	-0.021	-1.042	0.318	0.000	0.000	0.000	0.0000	0.000	0.000	15.900	-0.297	0.873	0.436	-0.0071	0.021	0.010	15.900	-0.244	0.611	-2.276E-14	-0.0058	0.015	-5.811E-16
1.600	0.401	0.000	0.000	0.0096	0.000	0.000	1.600	0.000	-0.873	43.633	0.0000	-0.021	1.042	0.320	0.000	0.000	0.000	0.0000	0.000	0.000	16.000	-0.209	0.873	-0.873	-0.0050	0.021	-0.021	16.000	-0.175	0.524	-1.309	-0.0042	0.012	-0.031
1.610	0.401	0.873	43.633	0.0096	0.021	1.042	1.610	0.000	0.000	43.633	0.0000	0.000	1.042	0.322	0.000	0.000	0.000	0.0000	0.000	0.000	16.100	-0.122	0.698	-2.618	-0.0029	0.017	-0.062	16.100	-0.140	0.349	-1.745	-0.0033	0.008	-0.042
1.620	0.419	0.873	-43.633	0.0100	0.021	-1.042	1.620	0.000	0.000	-43.633	0.0000	0.000	-1.042	0.324	0.000	0.000	0.000	0.0000	0.000	0.000	16.200	-0.070	0.349	-3.054	-0.0017	0.008	-0.073	16.200	-0.105	0.175	-2.182	-0.0025	0.004	-0.052
1.630	0.419	0.000	-43.633	0.0100	0.000	-1.042	1.630	0.000	-0.873	-43.633	0.0000	-0.021	-1.042	0.326	0.000	0.000	0.000	0.0000	0.000	0.000	16.300	-0.052	0.087	-3.054	-0.0012	0.002	-0.073	16.300	-0.105	-0.087	-2.182	-0.0025	-0.002	-0.052
1.640	0.419	0.000	43.633	0.0100	0.000	1.042	1.640	-0.017	-0.873	43.633	-4.1667E-4	-0.021	1.042	0.328	0.000	0.000	0.000	0.0000	0.000	0.000	16.400	-0.052	-0.262	-3.491	-0.0012	-0.006	-0.083	16.400	-0.122	-0.262	-1.745	-0.0029	-0.006	-0.042
1.650	0.419	0.873	43.633	0.0100	0.021	1.042	1.650	-0.017	0.000	43.633	-4.1667E-4	0.000	1.042	0.330	0.000	0.000	0.000	0.0000	0.000	0.000	16.500	-0.105	-0.611	-2.182	-0.0025	-0.015	-0.052	16.500	-0.157	-0.436	-1.309	-0.0037	-0.010	-0.031
1.660	0.436	0.873	6.217E-13	0.0104	0.021	7.112E-15	1.660	-0.017	0.000	-43.633	-4.1667E-4	0.000	-1.042	0.332	0.000	0.000	0.000	0.0000	0.000	0.000	16.600	-0.175	-0.698	-0.873	-0.0042	-0.017	-0.021	16.600	-0.209	-0.524	-0.873	-0.0050	-0.013	-0.021
1.670	0.436	0.873	-3.442E-13	0.0104	0.021	-1.579E-14	1.670	-0.017	-0.873	-43.633	-4.1667E-4	-0.021	-1.042	0.334	0.000	0.000	0.000	0.0000	0.000	0.000	16.700	-0.244	-0.785	-0.873	-0.0058	-0.019	-0.021	16.700	-0.262	-0.611	4.607E-14	-0.0062	-0.015	1.110E-15
